Date_wise,Flight_No,Airlines_Name,Arrival/Departure,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_Actual,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_Actual,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
19-06-2022,6E 2532,IndiGo,Arrival,DEL,Delhi,Indira Gandhi International Airport,18-06-2022,20:10 IST,20:24 IST,2,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:00 IST,00:06 IST,1,Arrived,Delayed,1h 6m,3h 42m,1062 mi,32Q,Airbus A321neo
19-06-2022,UK 857,Vistara,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,18-06-2022,21:30 IST,21:44 IST,2,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:10 IST,00:07 IST,,Arrived,Delayed,57m,2h 23m,518 mi,32N,Airbus A320neo
19-06-2022,6E 7166,IndiGo,Arrival,TRZ,Tiruchirappalli,Tiruchirapalli International Airport,18-06-2022,22:35 IST,22:22 IST,,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:30 IST,00:01 IST,1,Arrived,Delayed,31m,1h 39m,181 mi,AT7,ATR 72
19-06-2022,6E 6354,IndiGo,Arrival,LKO,Lucknow,Chaudhary Charan Singh International Airport,18-06-2022,21:15 IST,21:22 IST,2,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:40 IST,00:15 IST,1,Arrived,Delayed,35m,2h 53m,959 mi,32N,Airbus A320neo
19-06-2022,6E 6505,IndiGo,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,18-06-2022,22:30 IST,22:39 IST,,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:40 IST,00:18 IST,1,Arrived,Delayed,38m,1h 39m,283 mi,320,Airbus A320
19-06-2022,BZ 102,Blue Dart Aviation,Arrival,MAA,Chennai,Chennai Airport,18-06-2022,22:40 IST,23:26 IST,,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:45 IST,00:15 IST,,Arrived,Delayed,30m,49m,166 mi,75C,Boeing 757-200 Freighter
19-06-2022,I5 721,AirAsia India,Arrival,DEL,Delhi,Indira Gandhi International Airport,18-06-2022,21:00 IST,20:57 IST,3,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:50 IST,00:12 IST,,Arrived,Delayed,22m,3h 15m,1062 mi,320,Airbus A320
19-06-2022,6E 573,IndiGo,Arrival,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,18-06-2022,21:20 IST,21:25 IST,,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:50 IST,00:28 IST,1,Arrived,Delayed,38m,3h 3m,960 mi,,
19-06-2022,KL 3701,KLM,Arrival,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,18-06-2022,21:20 IST,21:25 IST,,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:50 IST,00:28 IST,1,Arrived,Delayed,38m,3h 3m,960 mi,32A,Airbus A320 (sharklets)
19-06-2022,I5 1784,AirAsia India,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,18-06-2022,22:00 IST,21:55 IST,1,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:50 IST,00:07 IST,,Arrived,Delayed,17m,2h 12m,518 mi,320,Airbus A320
19-06-2022,6E 103,IndiGo,Arrival,PNQ,Pune,Pune Airport,18-06-2022,22:25 IST,22:23 IST,,BLR,Bengaluru,Kempegowda International Airport,18-06-2022,23:55 IST,00:26 IST,1,Arrived,Delayed,31m,2h 3m,449 mi,32N,Airbus A320neo
19-06-2022,AI 504,Air India,Arrival,DEL,Delhi,Indira Gandhi International Airport,18-06-2022,21:15 IST,21:17 IST,3,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:05 IST,00:17 IST,,Arrived,On time,,3h,1062 mi,32N,Airbus A320neo
19-06-2022,I5 1130,AirAsia India,Arrival,COK,Kochi,Cochin International Airport,18-06-2022,22:55 IST,23:17 IST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:05 IST,00:29 IST,,Arrived,Delayed,24m,1h 12m,229 mi,320,Airbus A320
19-06-2022,6E 5383,IndiGo,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,18-06-2022,22:40 IST,22:34 IST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:10 IST,00:42 IST,1,Arrived,Delayed,32m,2h 8m,518 mi,32N,Airbus A320neo
19-06-2022,6E 2131,IndiGo,Arrival,DEL,Delhi,Indira Gandhi International Airport,18-06-2022,21:30 IST,22:08 IST,2,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:15 IST,01:01 IST,1,Arrived,Delayed,46m,2h 53m,1062 mi,32N,Airbus A320neo
19-06-2022,G8 284,Go First,Arrival,PNQ,Pune,Pune Airport,18-06-2022,22:50 IST,23:35 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:20 IST,01:09 IST,,Arrived,Delayed,49m,1h 34m,449 mi,32N,Airbus A320neo
19-06-2022,6E 6806,IndiGo,Arrival,GOI,Goa,Dabolim Airport,18-06-2022,23:10 IST,23:26 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:25 IST,00:43 IST,1,Arrived,Delayed,18m,1h 17m,300 mi,32N,Airbus A320neo
19-06-2022,I5 1732,AirAsia India,Arrival,DEL,Delhi,Indira Gandhi International Airport,18-06-2022,21:40 IST,22:12 IST,3,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:30 IST,01:08 IST,,Arrived,Delayed,38m,2h 56m,1062 mi,32N,Airbus A320neo
19-06-2022,I5 1534,AirAsia India,Arrival,BBI,Bhubaneswar,Biju Patnaik International Airport,18-06-2022,22:30 IST,22:31 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:40 IST,00:40 IST,,Arrived,On time,,2h 9m,724 mi,320,Airbus A320
19-06-2022,6E 373,IndiGo,Arrival,JAI,Jaipur,Jaipur Airport,18-06-2022,22:20 IST,22:47 IST,2,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:45 IST,01:17 IST,1,Arrived,Delayed,32m,2h 30m,949 mi,32N,Airbus A320neo
19-06-2022,I5 673,AirAsia India,Arrival,GAU,Guwahati,Lokpriya Gopinath Bordoloi International Airport,18-06-2022,21:30 IST,21:22 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,00:50 IST,00:31 IST,,Arrived,On time,,3h 9m,1267 mi,320,Airbus A320
19-06-2022,6E 996,IndiGo,Arrival,AMD,Ahmedabad,Ahmedabad Airport,18-06-2022,22:55 IST,22:44 IST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:00 IST,01:03 IST,1,Arrived,On time,,2h 19m,759 mi,,
19-06-2022,KL 3697,KLM,Arrival,AMD,Ahmedabad,Ahmedabad Airport,18-06-2022,22:55 IST,22:44 IST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:00 IST,01:03 IST,1,Arrived,On time,,2h 19m,759 mi,32N,Airbus A320neo
19-06-2022,6E 949,IndiGo,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,19-06-2022,00:05 IST,00:06 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:15 IST,01:19 IST,1,Arrived,On time,,1h 13m,283 mi,,
19-06-2022,KL 3707,KLM,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,19-06-2022,00:05 IST,00:06 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:15 IST,01:19 IST,1,Arrived,On time,,1h 13m,283 mi,32N,Airbus A320neo
19-06-2022,I5 975,AirAsia India,Arrival,PNQ,Pune,Pune Airport,18-06-2022,23:55 IST,00:50 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:20 IST,02:23 IST,,Arrived,Delayed,1h 3m,1h 33m,449 mi,320,Airbus A320
19-06-2022,LH 754,Lufthansa,Arrival,FRA,Frankfurt,Frankfurt Airport,18-06-2022,13:05 CEST,13:48 CEST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:25 IST,02:11 IST,,Arrived,Delayed,46m,8h 53m,4599 mi,,
19-06-2022,AC 9056,Air Canada,Arrival,FRA,Frankfurt,Frankfurt Airport,18-06-2022,13:05 CEST,13:48 CEST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:25 IST,02:11 IST,,Arrived,Delayed,46m,8h 53m,4599 mi,,
19-06-2022,SK 3234,SAS,Arrival,FRA,Frankfurt,Frankfurt Airport,18-06-2022,13:05 CEST,13:48 CEST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:25 IST,02:11 IST,,Arrived,Delayed,46m,8h 53m,4599 mi,,
19-06-2022,6E 431,IndiGo,Arrival,BBI,Bhubaneswar,Biju Patnaik International Airport,18-06-2022,23:30 IST,01:23 IST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:30 IST,03:21 IST,1,Arrived,Delayed,1h 51m,1h 58m,724 mi,32N,Airbus A320neo
19-06-2022,TK 6208,Turkish Airlines,Arrival,IST,Istanbul,Istanbul Airport,18-06-2022,15:40 +03,20:39 +03,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:40 IST,05:51 IST,,Arrived,Delayed,4h 11m,6h 42m,3515 mi,33X,Airbus A330-200 Freighter
19-06-2022,6E 6565,IndiGo,Arrival,DEL,Delhi,Indira Gandhi International Airport,18-06-2022,22:55 IST,23:09 IST,1,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:45 IST,02:00 IST,1,Arrived,Delayed,15m,2h 51m,1062 mi,32N,Airbus A320neo
19-06-2022,6E 6819,IndiGo,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,19-06-2022,00:10 IST,00:37 IST,2,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,01:55 IST,02:21 IST,1,Arrived,Delayed,26m,1h 44m,518 mi,32Q,Airbus A321neo
19-06-2022,QR 572,Qatar Airways,Arrival,DOH,Doha,Hamad International Airport,18-06-2022,19:30 +03,19:46 +03,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,02:25 IST,02:44 IST,,Arrived,Delayed,19m,4h 28m,1890 mi,77W,Boeing 777-300ER
19-06-2022,UL 173,SriLankan Airlines,Arrival,CMB,Colombo,Bandaranaike International Airport,19-06-2022,01:05 +0530,02:15 +0530,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,02:30 IST,03:35 IST,,Arrived,Delayed,1h 5m,1h 20m,442 mi,321,Airbus A321
19-06-2022,6E 284,IndiGo,Arrival,PNQ,Pune,Pune Airport,19-06-2022,01:00 IST,01:49 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,02:35 IST,03:27 IST,1,Arrived,Delayed,52m,1h 38m,449 mi,,
19-06-2022,KL 3711,KLM,Arrival,PNQ,Pune,Pune Airport,19-06-2022,01:00 IST,01:49 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,02:35 IST,03:27 IST,1,Arrived,Delayed,52m,1h 38m,449 mi,32Q,Airbus A321neo
19-06-2022,EK 568,Emirates,Arrival,DXB,Dubai,Dubai Airport,18-06-2022,21:25 +04,21:24 +04,3,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:00 IST,03:03 IST,1,Arrived,On time,,4h 9m,1675 mi,77W,Boeing 777-300ER
19-06-2022,KL 879,KLM,Arrival,AMS,Amsterdam,Amsterdam Airport Schiphol,18-06-2022,14:00 CEST,14:50 CEST,2,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:10 IST,03:26 IST,,Arrived,Delayed,16m,9h 6m,4781 mi,,
19-06-2022,AF 3127,Air France,Arrival,AMS,Amsterdam,Amsterdam Airport Schiphol,18-06-2022,14:00 CEST,14:50 CEST,2,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:10 IST,03:26 IST,,Arrived,Delayed,16m,9h 6m,4781 mi,,
19-06-2022,DL 9233,Delta Air Lines,Arrival,AMS,Amsterdam,Amsterdam Airport Schiphol,18-06-2022,14:00 CEST,14:50 CEST,2,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:10 IST,03:26 IST,,Arrived,Delayed,16m,9h 6m,4781 mi,,
19-06-2022,6E 1723,IndiGo,Arrival,DOH,Doha,Hamad International Airport,18-06-2022,20:25 +03,20:17 +03,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:10 IST,03:19 IST,1,Arrived,On time,,4h 32m,1890 mi,,
19-06-2022,QR 4786,Qatar Airways,Arrival,DOH,Doha,Hamad International Airport,18-06-2022,20:25 +03,20:17 +03,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:10 IST,03:19 IST,1,Arrived,On time,,4h 32m,1890 mi,32N,Airbus A320neo
19-06-2022,EY 216,Etihad Airways,Arrival,AUH,Abu Dhabi,Abu Dhabi International Airport,18-06-2022,21:55 +04,21:52 +04,3,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:20 IST,03:02 IST,,Arrived,On time,,3h 40m,1692 mi,789,Boeing 787-9
19-06-2022,6E 948,IndiGo,Arrival,GOI,Goa,Dabolim Airport,19-06-2022,02:25 IST,02:11 IST,,BLR,Bengaluru,Kempegowda International Airport,19-06-2022,03:35 IST,03:25 IST,1,Arrived,On time,,1h 14m,300 mi,,
